"company_name","company_industry","company_location","company_description","linkedin_followers","linkedin_company_url","linkedin_search_term","linkedin_search_params"
"Sigma Software","Software Development","London","Sigma Software, an award-winning and trusted IT partner, has been serving customers for over 24 years, providing comprehensive IT solutions to various businesses, ranging from startups to established software product houses. As one of Europe's substantial IT consultancies, it brings together a dedicated workforce of over 2,000 professionals in 20+ countries. With a diverse client base, including more than 300 enterprises, including Fortune 500 stalwarts, Sigma Software is a preferred choice for developing solutions that help businesses create cutting-edge products while meeting their unique needs. Sigma Software operates as a dynamic ecosystem of tech companies, offering 25 ready-to-implement innovative products and 40+ value-added services. Furthermore, Sigma Software is committed to fostering innovation through initiatives such as the Sigma Software Labs business incubator, Sigma Software University, the SID Venture Partners VC Fund, UA Tech Network, Techosystem, the European Business Association, and other collaborative efforts. Since 2002, Sigma Software has consistently earned recognition on the IAOP's prestigious World's Top 100 Outsourcing list. The company's accomplishments have also been acknowledged by prominent global media outlets such as Forbes, CNBC, The Times, and Reuters.",143000,"https://www.linkedin.com/company/sigma-software-page/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Lepton Software","IT Services and IT Consulting","Gurgaon, Haryana","Lepton Software is a pioneering force in geospatial intelligence, renowned for its innovative technology solutions tailored for the telecommunications industry and extending its expertise across diverse sectors. Our advanced GIS solutions, digital twins, remote sensing, RF mapping (2D, 2.5D, & 3D), and location-based services empower businesses to make informed decisions and optimize operations. Industry Focus: We specialize in tailored geospatial solutions for: - Telecommunications: End-to-end 5G and Fiber/FTTx network planning, deployment, and optimization. - Government and Defence - BFSI (Banking, Financial Services, and Insurance) - FMCG and Retail - Automobile - Logistics - Restaurants and Food Key Products: - NetworkAccess: A unified platform for telecommunication businesses, encompassing four main modules: # NetworkAccess SmartPlanner: End-to-End Fiber/FTTx Network Planning # NetworkAccess SmartInventory: Fiber Network Inventory Management # NetworkAccess SmartOPS: Workforce Management Tool # NetworkAccess SmartSQ: End-to-End Feasibility Checks # NetworkAccess SmartSignal: Create a Digital Twin of Telco Network - rfMAP (2D & 3D): Advanced mapping for network planning, navigation, risk mitigation, and smart city planning. - neo360: Geo-analytics platform for visualizing and deriving insights from data correlations. - Lepton Maps API: Enhances mapping experiences with advanced analytics. - SmartMarket: Business intelligence tool for visualizing and analyzing business data. - Lepton SmartData: Data as a Service (DaaS) for leveraging spatial datasets in decision-making. Partnership with Google: For over 12 years, Lepton Software has been the preferred technology partner for the Google Maps Platform in India, enhancing our geospatial offerings with cutting-edge mapping technology.",119000,"https://www.linkedin.com/company/lepton-software/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"ESKADENIA Software","Software Development","Amman, Amman","ESKADENIA Software is committed to continuously enrich its product offerings and create advanced software products according to market demands. ESKADENIA Software maintains this commitment by continually investing in research, development and customer care. In July of 2000, a group of telecom and IT professionals founded ESKADENIA Software. Their objective was to establish a world-renowned software development company providing distinguished software systems. Utilizing their wide contact network and diverse international experience, ESKADENIA Software was created and has grown to be a regional market leader in a short period. ESKADENIA Software is headquartered in Amman, Jordan with offices and customers in Asia, Europe, and Africa. Today, ESKADENIA Software consists of over 200 professionals with diverse industry backgrounds, with most of the ESKADENIA team, around 85%, actively working in Research and Development. ESKADENIA Software is a CMMI® level 3 certified company that provides top-quality software in the fields of Telecommunications, Insurance, Enterprise, Education, Healthcare and Internet.",44000,"https://www.linkedin.com/company/eskadenia-software/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Interact Software","Software Development","Manchester","Interact delivers enterprise-grade intranet software to over 1,000 customers and millions of employees worldwide. Our mission is to inform and connect every organization's greatest asset: its people. For more than 15 years, Interact has worked with organizations such as Levi Strauss & Co., New York Life, Teva Pharmaceuticals, and Domino’s to deliver outstanding intranet experiences. Interact has offices in New York, Tulsa, and Manchester and operates across North America, EMEA, and Australia.",25000,"https://www.linkedin.com/company/interactsoftware/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Profile Software","Software Development","Athens","Founded in 1990, Profile Software is a specialised financial software solutions provider with offices in key financial centers and a presence in 50+ countries across Europe, the Middle East, Asia, Africa and the Americas delivering market-proven solutions to the Investment Management and Banking industries. Profile Software is recognised as an established and trusted partner by international industry-specific advisory firms.",21000,"https://www.linkedin.com/company/profile-software/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Lakshya Software Technologies Pvt. Ltd.","IT Services and IT Consulting","Hyderabad, Telangana","With extensive experience spanning across different industries and regions, we offer specialized services to clients globally. Our ability to adapt to regional customs and preferences enables us to solve the most complex problems for our clients, while delivering exceptional results. At Lakshya Software Technologies, our singular focus is to achieve the best possible outcome for our clients. To achieve this, we are willing to make tough decisions and explore essential perspectives that offer simple yet timeless solutions, both differentiated and relevant. As a company with a significant presence in both domestic and international markets, we have over 80 full-time employees in-house, as well as 240+ employees working at various client locations. Our customer-oriented approach has earned us a valuable place in our customers' hearts. We invest our time and resources in two key areas: recruiting the right talent and executing our products to the highest standards. Our services are customer-centric, including application development and support, maintenance, application testing, designing and implementation, and talent acquisition. With our proven track record of providing high-quality solutions, we are confident in our ability to deliver customized solutions that meet the unique needs and requirements of our clients. At Lakshya, we strive to develop strong relationships with our clients, working collaboratively to achieve their goals and objectives.",29000,"https://www.linkedin.com/company/lakshya-software-technologies/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"ATIS Software Factory","IT Services and IT Consulting","Zug, ZG","ATIS is a Software House specialized in the design, development, and integration of custom software solutions. We are headquartered in Switzerland. Since 2013 we have been a visionary and a reliable software engineering partner for world-class brands in Europe and the USA. Our international team of 120 + helps over 100 customers and 90% of our customers choose us for long-term collaborations. We are experienced in travel and hospitality, fintech, retail, MedTech, fashion, education, game development, sport, media & entertainment. We follow the best open source technologies and always stay up-to-date with the latest trends of the community. Main Technology Platforms we work with: JavaScript frameworks like Angular, React and VueJS. - PHP (Laravel)- Java (Spring/Spring Boot)- C Sharp (.NET Core) –NodeJS - React Native - Java for Android – Kotlin – Swift – WooCommerce - Prestashop - Drupal - Magento. ATIS is your perfect destination for digital transformation as well as career empowerment.",17000,"https://www.linkedin.com/company/atis-software-factory/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Advancis Software & Services","IT Services and IT Consulting","Langen, Hessen","Advancis is a global leader in the PSIM industry with offices and partners around the globe. The company was founded in 1994 with the goal of developing a command & control management platform to unify disparate security systems and to provide real time incident handling for security control rooms. WinGuard PSIM from Advancis is a highly stable, scalable and sophisticated, open architecture command & control platform for security and building integration. We work closely in partnership with an ever expanding community of security system and equipment manufacturers from around the world to ensure the integration and compatibility with WinGuard. There are already over 500 interfaces available. Our community of certified partners deploys WinGuard to integrate and unify security, automation, IT and communication systems for centralised, real time event management and communication. Most essentially WinGuard provides operators with an instant picture of full situational analysis for decision making, command and control of all systems as well as dynamic and interactive handling procedures for live security incidents via the control room as well as in the field for mobile security agents. WinGuard is sold via a network of security, automation and IP specialists in over 70 countries at projects of various sizes and complexity. Many of these protect national and critical infrastructure or corporate security such as data centres, banks headquarters, correctional facilities, railway infrastructure, airports, pharma, oil & gas and in sports arenas and stadiums. Our mission is to offer the most stable and innovative PSIM solution on the market that provides the benefits of open architecture, cost efficiency and scalability as well as to provide high levels of support throughout a projects life cycle. Advancis is an ISO 9001 certified company.",7000,"https://www.linkedin.com/company/advancis-software/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Tranetech Software Solutions","Information Technology & Services","Abu Dhabi, Abu Dhabi","Tranetech Software Solutions, we are a team with years of knowledge and experience for software development. Every one of us has a passion for design, development and successful deployment. In Tranetech Software Solutions, we deliver what we promise. Our team works on a client-centric approach that aims to deliver sustainable results that promote business growth. With our expertise, we help you deliver the perfect system for your business and make complex systems simple for the end-user and clients. Technologies play a vital role in turning an idea into a reality that is why we had a team consists of domain experts from varied technologies. We expertise in building intuitive solutions with technologies built on your choice of platform. The applications are horizontally scalable and keep your business online, available and responsive to change. All you need is to let us know your requirement and we will deliver a technical solution worthy of outstanding business success.",16000,"https://www.linkedin.com/company/tranetech-software-solutions/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"TestPRO | Software Testing Services | خدمات اختبار البرمجيات","IT Services and IT Consulting","Dubai","تيست برو هي شركة مصرية متخصصة فى مجال اختبار البرمجيات والجودة في مصر والخليج At TestPRO, we specialize in providing our clients with exceptional Software Testing Services and Training. Our services include: • Functional Testing • Performance Testing • Acceptance Testing • Usability Testing • Portability Testing • Security/Penetration Testing • Test Automation • Mobile Testing • Agile Coaching • Software Testing Outsourcing • Software Testing Consultation Additionally, TestPRO is an ISTQB Gold Partner and an accredited training provider for ISTQB Certificates. We offer training programs that are designed to equip professionals with the necessary skills and knowledge in the field of software testing. TestPRO succeeded in saving up to 30% of testing costs and time for our partners while significantly improving quality results for leading organizations TestPRO succeeded in saving up to 30% of testing costs and time for our partners while significantly improving quality results for leading organizations.",15000,"https://www.linkedin.com/company/testproeg/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Amrut Software","Software Development","Mumbai, Maharashtra","Amrut Software is a leading provider of customer-centric solutions, empowering companies to gain a sustainable competitive advantage. We are India's premier Atlassian Enterprise Platinum Partner and Cloud First Solutions provider. With a legacy of excellence since 2004, our comprehensive solutions cater to diverse industries, from Fortune 500 companies to SMEs, ensuring businesses of all sizes benefit from our expertise. Headquartered in Mumbai, we serve global clients from our operations in India and the UAE. Our services encompass software and IT services, consulting, app & plugin development, customization, configuration, migration, resource augmentation, integration, workflow management, and digital commerce. Transforming together with Atlassian, JetBrains, Nagios, Monday.com, GitHub, Gitlab, Smartbear, Zendesk, JFrog, Sentry, TechSmith, ClickUp, CloundBees, Freshworks, Site24*7, Sencha",10000,"https://www.linkedin.com/company/amruts-software/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Microtech Software Solutions","Software Development","Cairo, Giza","For over three decades, Microtech, the region’s leading enterprise software multi-national company, has provided the software and associated services which enable organizations in managing their business processes, and in obtaining timely and accurate information from their business systems. Microtech’s leadership, vision, and commitment to its clients have made it the Middle East’s largest enterprise software company, providing software and consulting and support services to enterprise clients throughout the region.",10000,"https://www.linkedin.com/company/microtech_4/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Splash Software LLC","IT Services and IT Consulting","Business Bay, Dubai","Splash Software L.L.C is Dubai based software company that registered from 2020 under license no: 924267 with activity of Computer Systems & Communication Equipment Software Design. We are a team of experts who develop blockchain systems and softwares based on your needs under UAE, GCC and International law, we provide consultant services and support the digital industry. The team modernizing your needs on highest artificial intelligence technology to create seamless experience of usage. Today, the breadth of services we provide is quite remarkable for our size and enables us to punch well above our weight. Our expertise spans cloud migration services, IT infrastructure, application specializations, software development, native mobile app development and all are underpinned by our managed services. We focus on customer needs, design functional and user-friendly software that adds value to our customer’s business. Splash Software provides all the solutions and develop your idea and manage all the side requirements from A to Z, which means you don’t need to have any knowledge or experience in software development. Software development is the unique ability to visualize A real-world problem and code this into a finely tuned solution. At Splash Software, our highly skilled developers work tirelessly to ensure total customer satisfaction, a work ethic which has made us one of the leading software development companies in UAE. We provide Application Support across several cloud and on-premises applications across a variety of platforms. Contact us today to find out more about our Application Support for your application or move your current support from another vendor.",11000,"https://www.linkedin.com/company/splsae/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Finonyx Software Solutions Pvt Ltd","IT Services and IT Consulting","Bangalore, KA","About Us For more than 15 years, Finonyx Software Solutions has stood beside banks and financial institutions as they navigate the ever-changing world of technology. As a trusted Oracle Partner, we bring deep expertise in Oracle Financial Services consulting, implementation, customization, and support - helping our clients move forward with confidence in their digital transformation journeys. Our solutions span Digital Banking, WhatsApp Banking, Digital Onboarding, Document Management, Alert Management, EOD Automation, and Quantum Bus integration - each built with one goal in mind: making banking simpler, faster, and more human for the people who use it every day. Today, more than 50 financial institutions across Africa, the Middle East, Asia, and the Caribbean trust Finonyx as a partner who shows up not just at the start of a project, but for the long run. What We Excel At / Areas of Expertise Empowering Financial Institutions through Digital Banking Transformation, Oracle Financial Services Expertise, Core Banking Modernization, Cloud & Managed Services, Islamic Banking Solutions, Governance, Risk & Compliance (GRC), Enterprise Risk Management, Financial Crime Prevention, Cybersecurity Operations (NOC & SOC), Intelligent Document Management, Enterprise Integration, Custom Software Development, and Banking Process Automation",10000,"https://www.linkedin.com/company/finonyx-software-solutions-pvt-ltd/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Cylsys Software Solution Pvt Ltd.","IT Services and IT Consulting","Mumbai, MH","Cylsys is a focused engineering firm that specialises in tackling IT Solutions. Our USP is high quality, fail-safe software. Our team of young experts loves challenges and doesn’t believe in run-of-the-mill answers. Some of the recent projects we’ve handled are a testimony to our promise. We’ve created a content reader for Wolters Kluwer, USA - It’s a next generation iPAD/Android based reader for medical and scientific journals. About 350 journals goes live to the reader. We’ve put in a payment gateway, given digital rights management capabilities and added a host of other features that make it more user-friendly than you can imagine. Its comprehensive advertisement platform that has micro-targeting capabilities; carries context-aware, rich multimedia adverts; has sophisticated usage analytics to study user behavior and frequently read articles; and supports online interactions between peers, users and advertisers. We’ve designed application integration software that enables applications running on different servers to talk to each other. For isntance Mumbai International Airport, it runs a main frame server that supports the administrative operations of the airport. It also runs a parallel Gate Operating System that is responsible for guiding an airplane to its parking bay. It is very useful for these two systems to communicate with each other, but they can’t because they operate with completely different architecture.",10000,"https://www.linkedin.com/company/cylsys-software-solution-pvt-ltd/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
