source,company_name,country,company_industry,categories,company_location,address,company_description,shortAbout,linkedin_followers,domain,linkedin_company_url,linkedin_search_term,linkedin_search_params,id,code,title,createdAt,updatedAt,logo,hidden,highlights,locationLng,locationLat,invitationCode,isActive,emails,phones,geography_status,geography_confidence,geography_evidence,review_reason
linkedin,Interact Software,United Kingdom,Software Development,,Manchester,,"Interact delivers enterprise-grade intranet software to over 1,000 customers and millions of employees worldwide. Our mission is to inform and connect every organization's greatest asset: its people. For more than 15 years, Interact has worked with organizations such as Levi Strauss & Co., New York Life, Teva Pharmaceuticals, and Domino’s to deliver outstanding intranet experiences. Interact has offices in New York, Tulsa, and Manchester and operates across North America, EMEA, and Australia.",,25000,,https://www.linkedin.com/company/interactsoftware/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,Manchester,"Source location resolves to United Kingdom, outside the configured MENA scope."
linkedin,Profile Software,Greece,Software Development,,Athens,,"Founded in 1990, Profile Software is a specialised financial software solutions provider with offices in key financial centers and a presence in 50+ countries across Europe, the Middle East, Asia, Africa and the Americas delivering market-proven solutions to the Investment Management and Banking industries. Profile Software is recognised as an established and trusted partner by international industry-specific advisory firms.",,21000,,https://www.linkedin.com/company/profile-software/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,Athens,"Source location resolves to Greece, outside the configured MENA scope."
linkedin,Lakshya Software Technologies Pvt. Ltd.,India,IT Services and IT Consulting,,"Hyderabad, Telangana",,"With extensive experience spanning across different industries and regions, we offer specialized services to clients globally. Our ability to adapt to regional customs and preferences enables us to solve the most complex problems for our clients, while delivering exceptional results. At Lakshya Software Technologies, our singular focus is to achieve the best possible outcome for our clients. To achieve this, we are willing to make tough decisions and explore essential perspectives that offer simple yet timeless solutions, both differentiated and relevant. As a company with a significant presence in both domestic and international markets, we have over 80 full-time employees in-house, as well as 240+ employees working at various client locations. Our customer-oriented approach has earned us a valuable place in our customers' hearts. We invest our time and resources in two key areas: recruiting the right talent and executing our products to the highest standards. Our services are customer-centric, including application development and support, maintenance, application testing, designing and implementation, and talent acquisition. With our proven track record of providing high-quality solutions, we are confident in our ability to deliver customized solutions that meet the unique needs and requirements of our clients. At Lakshya, we strive to develop strong relationships with our clients, working collaboratively to achieve their goals and objectives.",,29000,,https://www.linkedin.com/company/lakshya-software-technologies/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Hyderabad, Telangana","Source location resolves to India, outside the configured MENA scope."
linkedin,ATIS Software Factory,Switzerland,IT Services and IT Consulting,,"Zug, ZG",,"ATIS is a Software House specialized in the design, development, and integration of custom software solutions. We are headquartered in Switzerland. Since 2013 we have been a visionary and a reliable software engineering partner for world-class brands in Europe and the USA. Our international team of 120 + helps over 100 customers and 90% of our customers choose us for long-term collaborations. We are experienced in travel and hospitality, fintech, retail, MedTech, fashion, education, game development, sport, media & entertainment. We follow the best open source technologies and always stay up-to-date with the latest trends of the community. Main Technology Platforms we work with: JavaScript frameworks like Angular, React and VueJS. - PHP (Laravel)- Java (Spring/Spring Boot)- C Sharp (.NET Core) –NodeJS - React Native - Java for Android – Kotlin – Swift – WooCommerce - Prestashop - Drupal - Magento. ATIS is your perfect destination for digital transformation as well as career empowerment.",,17000,,https://www.linkedin.com/company/atis-software-factory/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Zug, ZG","Source location resolves to Switzerland, outside the configured MENA scope."
linkedin,Advancis Software & Services,Germany,IT Services and IT Consulting,,"Langen, Hessen",,"Advancis is a global leader in the PSIM industry with offices and partners around the globe. The company was founded in 1994 with the goal of developing a command & control management platform to unify disparate security systems and to provide real time incident handling for security control rooms. WinGuard PSIM from Advancis is a highly stable, scalable and sophisticated, open architecture command & control platform for security and building integration. We work closely in partnership with an ever expanding community of security system and equipment manufacturers from around the world to ensure the integration and compatibility with WinGuard. There are already over 500 interfaces available. Our community of certified partners deploys WinGuard to integrate and unify security, automation, IT and communication systems for centralised, real time event management and communication. Most essentially WinGuard provides operators with an instant picture of full situational analysis for decision making, command and control of all systems as well as dynamic and interactive handling procedures for live security incidents via the control room as well as in the field for mobile security agents. WinGuard is sold via a network of security, automation and IP specialists in over 70 countries at projects of various sizes and complexity. Many of these protect national and critical infrastructure or corporate security such as data centres, banks headquarters, correctional facilities, railway infrastructure, airports, pharma, oil & gas and in sports arenas and stadiums. Our mission is to offer the most stable and innovative PSIM solution on the market that provides the benefits of open architecture, cost efficiency and scalability as well as to provide high levels of support throughout a projects life cycle. Advancis is an ISO 9001 certified company.",,7000,,https://www.linkedin.com/company/advancis-software/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Langen, Hessen","Source location resolves to Germany, outside the configured MENA scope."
linkedin,Amrut Software,India,Software Development,,"Mumbai, Maharashtra",,"Amrut Software is a leading provider of customer-centric solutions, empowering companies to gain a sustainable competitive advantage. We are India's premier Atlassian Enterprise Platinum Partner and Cloud First Solutions provider. With a legacy of excellence since 2004, our comprehensive solutions cater to diverse industries, from Fortune 500 companies to SMEs, ensuring businesses of all sizes benefit from our expertise. Headquartered in Mumbai, we serve global clients from our operations in India and the UAE. Our services encompass software and IT services, consulting, app & plugin development, customization, configuration, migration, resource augmentation, integration, workflow management, and digital commerce. Transforming together with Atlassian, JetBrains, Nagios, Monday.com, GitHub, Gitlab, Smartbear, Zendesk, JFrog, Sentry, TechSmith, ClickUp, CloundBees, Freshworks, Site24*7, Sencha",,10000,,https://www.linkedin.com/company/amruts-software/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Mumbai, Maharashtra","Source location resolves to India, outside the configured MENA scope."
linkedin,Finonyx Software Solutions Pvt Ltd,India,IT Services and IT Consulting,,"Bangalore, KA",,"About Us For more than 15 years, Finonyx Software Solutions has stood beside banks and financial institutions as they navigate the ever-changing world of technology. As a trusted Oracle Partner, we bring deep expertise in Oracle Financial Services consulting, implementation, customization, and support - helping our clients move forward with confidence in their digital transformation journeys. Our solutions span Digital Banking, WhatsApp Banking, Digital Onboarding, Document Management, Alert Management, EOD Automation, and Quantum Bus integration - each built with one goal in mind: making banking simpler, faster, and more human for the people who use it every day. Today, more than 50 financial institutions across Africa, the Middle East, Asia, and the Caribbean trust Finonyx as a partner who shows up not just at the start of a project, but for the long run. What We Excel At / Areas of Expertise Empowering Financial Institutions through Digital Banking Transformation, Oracle Financial Services Expertise, Core Banking Modernization, Cloud & Managed Services, Islamic Banking Solutions, Governance, Risk & Compliance (GRC), Enterprise Risk Management, Financial Crime Prevention, Cybersecurity Operations (NOC & SOC), Intelligent Document Management, Enterprise Integration, Custom Software Development, and Banking Process Automation",,10000,,https://www.linkedin.com/company/finonyx-software-solutions-pvt-ltd/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Bangalore, KA","Source location resolves to India, outside the configured MENA scope."
linkedin,Cylsys Software Solution Pvt Ltd.,India,IT Services and IT Consulting,,"Mumbai, MH",,"Cylsys is a focused engineering firm that specialises in tackling IT Solutions. Our USP is high quality, fail-safe software. Our team of young experts loves challenges and doesn’t believe in run-of-the-mill answers. Some of the recent projects we’ve handled are a testimony to our promise. We’ve created a content reader for Wolters Kluwer, USA - It’s a next generation iPAD/Android based reader for medical and scientific journals. About 350 journals goes live to the reader. We’ve put in a payment gateway, given digital rights management capabilities and added a host of other features that make it more user-friendly than you can imagine. Its comprehensive advertisement platform that has micro-targeting capabilities; carries context-aware, rich multimedia adverts; has sophisticated usage analytics to study user behavior and frequently read articles; and supports online interactions between peers, users and advertisers. We’ve designed application integration software that enables applications running on different servers to talk to each other. For isntance Mumbai International Airport, it runs a main frame server that supports the administrative operations of the airport. It also runs a parallel Gate Operating System that is responsible for guiding an airplane to its parking bay. It is very useful for these two systems to communicate with each other, but they can’t because they operate with completely different architecture.",,10000,,https://www.linkedin.com/company/cylsys-software-solution-pvt-ltd/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Mumbai, MH","Source location resolves to India, outside the configured MENA scope."
linkedin,Ezulix Software,India,IT Services and IT Consulting,,"Gurugram, Haryana",,"Ezulix | Global Technology, AI & Digital Transformation Partner Ezulix is a global technology consulting and software development company specializing in custom software development, AI solutions, and digital transformation services for startups, scale-ups, and enterprises worldwide. With 10+ years of experience and 1500+ successful project deliveries, we help businesses build, scale, and modernize high-performance digital products across the US, UK, UAE, and global markets. We deliver end-to-end software development services, including web and mobile app development, SaaS product engineering, enterprise software solutions (ERP/CRM), cloud application development, and business process automation. Our expertise in Artificial Intelligence (AI), Machine Learning (ML), agentic AI, AI chatbots, data analytics, and intelligent automation enables organizations to improve efficiency, reduce costs, and unlock new revenue streams. From MVP development for startups to enterprise application modernization and legacy system upgrades, Ezulix combines technology consulting, product strategy, UI/UX design, and agile development to deliver scalable, secure, and future-ready solutions. Core Capabilities: Custom Software Development • Mobile App Development • Web Development • SaaS Development • Enterprise Software (ERP/CRM) • AI & ML Solutions • AI Chatbots & Automation • Cloud Computing • API Integrations • UI/UX Design • Digital Transformation • Product Engineering Who We Partner With: Startups • Scale-ups • Enterprises • Founders & Product Teams • Funded Ventures • Global Businesses • Agencies & Consulting Firms At Ezulix, we don’t just build software — we deliver scalable digital platforms, AI-powered systems, and technology solutions that drive measurable business growth and long-term success.",,9000,,https://www.linkedin.com/company/ezulix-software/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Gurugram, Haryana","Source location resolves to India, outside the configured MENA scope."
linkedin,Techlene Software Solutions Pvt. Ltd.,India,IT Services and IT Consulting,,"Indore, Madhya Pradesh",,"Techlene is a leading ERP software, enterprise technology, and digital transformation company headquartered in Indore, India. We specialize in delivering intelligent ERP solutions, business automation platforms, cloud applications, and advanced data-driven technologies that help businesses, industries, and educational institutions streamline operations, improve efficiency, and accelerate growth. At Techlene, we combine enterprise software expertise with modern technologies including AI, Big Data Analytics, Cloud Computing, Machine Learning, Business Intelligence, Mobile Applications, and Custom Software Development to build scalable and future-ready digital ecosystems. Our solutions are designed to connect departments, automate workflows, optimize resources, and provide real-time business insights for smarter decision-making. We empower manufacturers, trading companies, healthcare organizations, retailers, educational institutions, and service businesses with integrated ERP platforms covering finance, accounting, inventory, procurement, HR & payroll, production planning, CRM, sales, asset management, analytics, and operational management. Our specialized ERP and business software solutions include: • Manufacturing ERP Software • Trading & Distribution ERP Software • Industrial ERP Solutions • HR & Payroll Management Software • Hospital Management Systems • School & College ERP Software • Retail & POS Software • Inventory & Warehouse Management • CRM & Business Automation Solutions Techlene has successfully implemented ERP and enterprise solutions across diverse industries including manufacturing, healthcare, education, retail, construction, electronics, plastics, furniture, steel trading, logistics, and professional services. In addition to ERP products, we provide end-to-end IT and software services including: • Custom Software Development • Enterprise Web Applications • Mobile App Development • Cloud-Based Solutions • Business Intelligence & Analytics",,9000,,https://www.linkedin.com/company/techlene/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Indore, Madhya Pradesh","Source location resolves to India, outside the configured MENA scope."
linkedin,Tactive Software Systems (P) Ltd,India,IT Services and IT Consulting,,"Erode, Tamil Nadu",,"A complete construction ERP software built on a unified platform delivering unparalleled solutions to meet your project management needs. Get real-time visibility & control over your 5Ms. (Men, Material, Money, Minutes, Machinery)",,9000,,https://www.linkedin.com/company/tactivesoft/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Erode, Tamil Nadu","Source location resolves to India, outside the configured MENA scope."
linkedin,Zyple Software Solutions Pvt Ltd | SAP Business One Partner,India,Software Development,,"Bangalore, Karnataka",,"Zyple Software is an official SAP Business One Partner providing SAP Business One ERP services like SAP implementation, integration, add-ons, license, Support and digital transformation with SAP solutions to Businesses or industries around the globe. - Construction ERP (Infrastructure, Civil engineering, builders, Real Estate, Road & bridge, Concrete) - Manufacturing ERP - Pharmaceutical ERP - Process Industries ERP - Trading/Retail ERP - Textile ERP - Aerospace and defense ERP - Food & Beverage ERP - Oil & Gas industry ERP - Electronics industry ERP - Education ERP - Healthcare ERP - Dairy ERP - Jewellery ERP - ERP for Professional Services - Agriculture industry ERP - logistics ERP - Packaging industry ERP - Rental ERP - Steel & Wire industry ERP - Sugar & Distillery industry ERP - Chemical industry ERP - Procurement ERP - Paints & Pigments industry ERP - Sports ERP Investing in next-gen services and technology like SAP Business One HANA, HRMS, windows app, mobile app development, website design is a smart business call. If you are still not sure where to start – let’s Talk, Businesses are rapidly going digital and automating their business processes to drive customer satisfaction, make real-time decisions, reduce cost, and manage risk. They’re seeking business automation services to manage all their vital business functions. As a strategic partner of choice for over the years, Zyple Software Solutions helps businesses to achieve real business outcomes. With industry-specific expertise and automating your business processes with IoT, Robotics Machine Learning, SAP Business One (HANA / MS SQL), etc, we help our clients on their digital transformation journeys and modernize their business processes to rapidly solve their business problems. if you are interested in SAP B1 services, contact with zyple software team.",,8000,,https://www.linkedin.com/company/zyple-software/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Bangalore, Karnataka","Source location resolves to India, outside the configured MENA scope."
linkedin,Micropro Software Solutions Limited,India,IT Services and IT Consulting,,"Nagpur, Maharashtra",,"Micropro Software Solutions Limited, established in 1988, is an ISO 9001:2015, ISO/IEC 27001:2022, and ISO/IEC 20000-1:2018 certified company, with CMMI Level 5 certification. It has offices in Nagpur, India, and Sharjah, UAE. For the past three decades, Micropro has been an eminent name in the software development business, with expertise in providing Turnkey IT solutions in various fields, including accounting, Manufacturing, Healthcare, Administration, Academics, and Customer-Specific solutions, as well as allied services such as infrastructure management, Hardware supply, and network. Micropro has a Major presence in Central India, Middle East, and Southeastern Africa. The organization is backed by a team of 150+ highly skilled professionals serving over 1500+ clients across India and the Middle East in various verticals like Public Sector, Healthcare, Education, Automobile, Real Estate, and Textile. We have achieved higher customer satisfaction throughout the Domestic & Global market with our industry-proven implementation methodology that ensures quick implementation of the software application ensuring a reduced payback period for the client. All our Solutions are also available in 'Software as a Service'​ (SaaS) Model so that the clients can reduce initial expenditure incurred on IT Infrastructure and avail 'Pay as you use'​ facility. Driven by our vision of providing consistent and innovative IT solutions we focus on delivering great customer experiences. At Micropro we are constantly trying to improve Clients business processes by optimum use of human resources thereby building a long-term relationship. Our prime adage is “Customer Satisfaction” and we make every attempt to live up to our motto... “Thinking Reality... Committed to Success”. #Micropro #HospyCare #Micropro Dealer Management Software #Micropro ERP #Micropro Oracle ADF Services #Micropro Hospital ERP #Micropro Dairy ERP #Micropro Infrastructure Management Services #Micropro Scurity Services",,8000,,https://www.linkedin.com/company/micropro-software-solutions-ltd/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Nagpur, Maharashtra","Source location resolves to India, outside the configured MENA scope."
