source,fit,company_name,country,company_industry,categories,company_location,address,company_description,shortAbout,linkedin_followers,domain,linkedin_company_url,linkedin_search_term,linkedin_search_params,id,code,title,createdAt,updatedAt,logo,hidden,highlights,locationLng,locationLat,invitationCode,isActive,emails,phones
linkedin,true,Splash Software LLC,United Arab Emirates,IT Services and IT Consulting,,"Business Bay, Dubai",,"Splash Software L.L.C is Dubai based software company that registered from 2020 under license no: 924267 with activity of Computer Systems & Communication Equipment Software Design. We are a team of experts who develop blockchain systems and softwares based on your needs under UAE, GCC and International law, we provide consultant services and support the digital industry. The team modernizing your needs on highest artificial intelligence technology to create seamless experience of usage. Today, the breadth of services we provide is quite remarkable for our size and enables us to punch well above our weight. Our expertise spans cloud migration services, IT infrastructure, application specializations, software development, native mobile app development and all are underpinned by our managed services. We focus on customer needs, design functional and user-friendly software that adds value to our customer’s business. Splash Software provides all the solutions and develop your idea and manage all the side requirements from A to Z, which means you don’t need to have any knowledge or experience in software development. Software development is the unique ability to visualize A real-world problem and code this into a finely tuned solution. At Splash Software, our highly skilled developers work tirelessly to ensure total customer satisfaction, a work ethic which has made us one of the leading software development companies in UAE. We provide Application Support across several cloud and on-premises applications across a variety of platforms. Contact us today to find out more about our Application Support for your application or move your current support from another vendor.",,11000,,https://www.linkedin.com/company/splsae/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Fratello Software House,Palestine,Software Development,,"Nablus,",,"Fratello Software House is private company to provide high quality software solutions, customize mobile app solutions and Digital Business Solutions.",,8000,,https://www.linkedin.com/company/fratello-ai/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Omega Software,United Arab Emirates,IT Services and IT Consulting,,"Dubai, UAE",,"Omega Software is a leading worldwide company providing Information Technology solutions for the Hospitality and Retail industries. Omega provides Point of Sale and Enterprise Management Solution to Table Service, Fine Dining, Delivery, Fast food, Casual Restaurants, Hotels and Resorts, Theme Parks and Casinos, Institutional food service organizations and all kinds of retail environments. Omega Software Provides a powerful, yet Easy-to-use Software Solution Our Solutions helps businesses save time, increase efficiency, manage their needs more effectively, perform their day-to-day operations and keep up with the fast changing world. Our Mission Be a partner of choice for our clients and a source of pride for our employees. Our Vision Omega Software is aiming to become one of the top providers of software solutions for the hospitality industry and the general retail market. As a part of serving global customers Omega Software is also working on developing their presence in other parts of the world to be able to leverage the expertise that we presently have. History Omega Software was started in 1994. Today we are a pioneer in the “next generation” task-oriented, software solutions with immense growth. It is the trust and co-operation of our valuable clients who put their faith in us, that provided the harbor of success for our ships to anchor where Omega Software has reached impeccable heights! In a long run of 19 years with great dedication and hard work of our highly skilled staff, the expertise, guidance from experienced professionals and valuable leadership of company’s directors, we have reached remarkable place in the competitive market. Omega Software | POS System | POS Hardware | Business Management Software | POS For Restaurants | POS For Retail |",,9000,,https://www.linkedin.com/company/omega-software-inc/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Kites Software,Egypt,Software Development,,Cairo,,"Kites Software is a software company specialized in enterprise solutions. We offer Kites ERP, the first SaaS ERP for Import and Distribution for SMEs in Egypt. Our mission is to help SMEs in Egypt - which are 60% of the private sector - in their digital transformation journey to establish viability online and to meet their ever-evolving needs especially after the COVID-19 new norms. We decided to start covering the companies in the Import and Distribution sector. This is to capitalize on our founders’ experience with companies in this sector. Where, in addition to their solid background in the field of software development, they also have a deep experience with the import and distribution business due to their exposure to their family import and export business that had been in the market since the the 80s. Kites Software Team At Kites Software, we are blessed to have a team full of potentials that strive for technical excellence. They share a belief that what is good enough for today, is not good enough for tomorrow. And thus they give continuous attention to technical excellence, good design, and clean code. They value collaboration; when someone needs a hand, every single person on the team is more than welcome to do whatever possible to help them out. They work hard with a good focus level during regular work hours and then rest, this is because we believe a sustainable pace is essential for long term sustainability . They are self-managed and self-organized. You’ll have the freedom to choose your tasks every sprint from among the tasks that advance the product goals. They plan their vacations flexibly according to the status of your team’s goals. They are diverse; we have members from different genders, religions, and from around 5 cities in Egypt. At last, the best in Kites Team is that they strive to create value for our customers while building quality-in.",,7000,,https://www.linkedin.com/company/kites-software/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,3S Software - Secured Smart Systems,Egypt,Information Technology & Services,,"Cairo, Nasr City",,"@3S Software we focus on realizing our customers'​ business values in the most efficient and professional way possible, through our diverse expertise and exceptional track-record since 2006. We specialize in custom solutions development for the Government and Sports sectors, in addition to integrated digital transformation solutions with over 11 applications, alongside credible devices from 3S Security. We are proud of our strategic partnership with Microsoft, and Huawei, and we are growing exponentially, do you have what it takes to grow with us?",,7000,,https://www.linkedin.com/company/3segypt/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Madar Software,Saudi Arabia,Information Technology & Services,,"Al Dammam, Western Region",,"Madar Software is a leading software development company in KSA and Gulf region , specialized in innovative mobile software solutions , well designed to suite Arabic and Muslim user needs , combining innovation with will built applications to give the best UX to our users",,7000,,https://www.linkedin.com/company/madar-software/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,EDM - Software Solutions,Lebanon,IT Services and IT Consulting,,Beirut,,"With over 35 years of experience, EDM has become a leading provider of software and IT solutions in Lebanon, extending its reach across Saudi Arabia, Qatar, and the MENA region. Backed by a team of 200+ skilled professionals, EDM is dedicated to delivering high-quality solutions that streamline business processes and drive growth. Throughout the years, EDM has completed thousands of projects, solidifying its position as a trusted partner for businesses looking to embrace new technologies and embark on their digital transformation journey. Our Key Software Solutions Include: ERP Solutions: Comprehensive modules for Accounting, HR, Inventory, CRM, POS, and more. Payroll & School Systems: Tailored solutions to streamline HR and educational processes. POS Systems: Efficient solutions for retail businesses of all sizes. E-commerce Solutions: Building online platforms to expand your market reach. Mobile Sales Automation: Optimize field sales with our custom mobile applications. Field Medical Representative Management: Empower your field medical teams with tailored tools. Warehouse Management Solutions: Efficiently manage stock levels and optimize storage. Some of Our Software Partnerships: SAP Gold Partner Microsoft Gold Partner LS Retail Diamond Partner Odoo Partner Micro Focus Partner Insight Software (Business Intelligence) Why Choose EDM? With a fully integrated project management team, we ensure seamless implementation of your software solutions, tailored to your business needs. Ready to take the next step? Let’s discuss how we can transform your business together!",,6000,,https://www.linkedin.com/company/engineering-design-&-manufacturing/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,URANIUM Software,Egypt,IT Services and IT Consulting,,"Cairo, Maadi",,"URANIUM Software is a Professional and a specialized Information and Communication Technology Services Provider that was founded based on a true awareness of its mission. URANIUM Software sets an eye on its business objectives while the other eye is set on its customers’ business objectives, orchestrating both in real harmony and in a true sense of partnership that determines the type of relationships between URANIUM Software and its clients. URANIUM Software promises that it would go beyond the ordinary levels of services and beyond expectations in its pursue to serve its customers. We believe that our qualities should not only be technical, but as well none disputed commitment towards our customers and outstanding levels of service. We aim to introduce the vision of business driven IT solutions and service oriented architecture and the how-to utilize and enhance the IT services to serve our customers’ ultimate business vision and strategy.",,6000,,https://www.linkedin.com/company/uraniumcorp/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,UTrust for software testing and quality assurance services,Saudi Arabia,Information Technology & Services,,"Qurtubah, Riyadh",,"Since our inception in 2015, UTrust has been dedicated to delivering comprehensive outsourced software testing solutions. We've grown into a reliable partner for businesses worldwide, ensuring the quality and reliability of their software products. Our team of experienced testers combines cutting-edge methodologies with a deep understanding of industry best practices to provide exceptional testing services that meet the unique needs of each Vast Menu.",,6000,,https://www.linkedin.com/company/utrustglob/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Berakhah Software Solutions,United Arab Emirates,IT Services and IT Consulting,,"Al Rashidiya, Ajman",,"EXCELLENCE.INNOVATION.EXPERTISE. About Us Berakhah Software Solutions F.Z.E is a full service, independent Software, programming and design firm located in India and United Arab Emirates. BSS is all about excellence, passion and flexibility. For the last 17 years we have offered world class services in Software Solutions, Application Development, Website Services and Enterprise Solutions. We follow three main rules to get to our goals: do it on-time, do it within scope and offer the best service with lower cost than other development centers. At BSS, we live and breathe Technology every day. Our Values We are satisfied with what we do and proud to integrate an organization that respects values such as: Dedication and passion for excellence Integrity and Honesty Creativity and Innovation Collaboration and Respect Diversity Desire to share knowledge, achievements, and experiences Care about our colleagues and their quality of life Talent retention and continuous motivation Our Vision & Mission MISSION : Our mission combines work and talent. We seek to achieve extraordinary results by helping our clients make distinctive improvements. How do we do it? By leveraging best-of-breed technology and building a great company that is profitable and appeals to, helps develop and retains exceptional people. VISION : Our passion for what we do led us here. Our vision guides our business every day: to provide the world with the best IT and software services while taking care of our people and honoring our values.",,5000,,https://www.linkedin.com/company/berakhah-software-solutions/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Comsys Software S.A.E.,Egypt,Software Development,,"Cairo, Heliopolis - Cairo",,"Comsys is one of the leading Egyptian software companies established in 1984. Its main objective is providing the market with business integrated software to enhance the ability of organizations to generate ad-hoc reports on a timely, accurate and comprehensive basis, thus supporting managers in their decision making process. We believe that in today’s challenging business environment, firms must choose partners precisely, based on the value to be added to the relationship. Software is not a commodity, it is only as good as the company that stands behind it. Our Number-One-Priority at Comsys is customer satisfaction, So we are always keen to enable our customers to maximize the return on thier investments and to minimize the total cost of ownership. Thus, we believe that our success is the reasonable outcome from our customers'​ success. User Friendly, Scalability, Flexibility, Control and Manageability are the key elements to drive and monitor data flow through ours systems.",,4000,,https://www.linkedin.com/company/comsys-software-s-a-e-/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,TheMarketConnect - Software Testing and Engineering,United Arab Emirates,IT Services and IT Consulting,,Ajman,,"With a rich history of successful projects, we have evolved into a seasoned and accomplished organization. Our team of professionals boasts years of experience in holistic project management, software development, quality assurance, and testing services. Collaborating with a diverse global client base, we have consistently excelled in delivering outstanding end-user experiences and world-class services. At TheMarketconnect , our legacy of innovation and unwavering commitment to excellence is the hallmark of our success.",,4000,,https://www.linkedin.com/company/themarketconnectglobal/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Softbuilders Software Design LLC,United Arab Emirates,Software Development,,Dubai,,"At Softbuilders Software Design LLC, our mission is to provide our clients with exceptional software design and development services that exceed their expectations. We aim to build long-lasting partnerships by delivering high-quality, reliable, and scalable solutions that help businesses thrive in the digital landscape.",,4000,,https://www.linkedin.com/company/softbuilders-software-design/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Lattice Software Solutions,United Arab Emirates,Software Development,,Dubai,,"Lattice Software Solutions is a Dubai-based software company specialising in facility and asset management technology for the GCC. Our Experience Founded in 1994, Lattice brings over 30 years of software experience, with the last 18 years focused on facilities management. Our solutions are developed, owned and supported entirely in-house. Our Platform Reflexion is our integrated CAFM, EAM and CMMS platform, providing property owners, developers and FM service providers with a single system to manage: Asset and location management Work orders and planned maintenance Contracts and SLA governance Field inspections and compliance Reflexion Audit extends the platform to field inspections and compliance checks, with offline capability for teams working in areas with unreliable connectivity. Built for Scale Reflexion currently manages: 450M+ sq. ft. | 10M+ work orders annually Our customers and users include organisations such as EMAAR, Louvre Abu Dhabi, Dubai Duty Free and Al Mouj Muscat, as well as leading FM operators including Emrill, Transguard and Al Shirawi FM. Connect With Us Interested in seeing Reflexion in action? 📅 Book a demo: https://calendly.com/latticegulf-sales/30min 🌐 Website: latticegulf.com ✉️ Email: info@latticegulf.com",,3000,,https://www.linkedin.com/company/lattice-software-solutions/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,DANAOS Projects Software Solutions LLC,United Arab Emirates,Software Development,,"Dubai, Business Bay",,"DANAOS Projects Software Solutions LLC is the developer and owner of ProjectVIEW ERP, a construction-specific, project-centric ERP system designed to solve one problem generic ERPs consistently fail at: real cost control in complex projects. ProjectVIEW ERP is purpose-built for contractors, EPC companies, shipyards, and project-driven manufacturers operating across infrastructure, energy, data centers, offshore, marine, mining, project-based manufacturing, and industrial construction. Unlike generic ERP platforms (SAP, Oracle, Infor, IFS, Sage, Dynamics) that are accounting-centric, ProjectVIEW ERP is built around the project itself, continuously benchmarking Cost and Time through the BoQ–WBS–Cost Code relationship. This enables real-time visibility into budget vs actuals, procurement-driven forecasting, earned value deviations, and corrective action — before overruns escalate. What defines ProjectVIEW ERP: Construction & project-centric ERP (not finance-first) Real-time cost control driven by BoQ, WBS, and procurement Native support for EPC, infrastructure, shipbuilding, and project-based manufacturing Integrated planning, procurement, subcontractors, site operations, and analytics Seamless integration with Primavera, BIM, and corporate ERPs (SAP / Oracle) DANAOS Projects operates internationally, with offices in Greece, Dubai, and the Philippines, serving enterprise-grade project organizations seeking control, predictability, and profitability across the full CAPEX → OPEX → asset lifecycle. ProjectVIEW ERP is not a generic ERP adapted for construction. It is a construction ERP engineered by construction professionals.",,10000,,https://www.linkedin.com/company/danaos-projects/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,ITIDA-SECC Software Engineering Competence Center,Egypt,Information Technology & Services,,"Cairo, Giza",,"We work with ICT Companies in improving the process and content of their product or service production, by providing services that enhance their technical competence and improve their internal capabilities. In June 2001, the Software Engineering Competence Center (SECC) was inaugurated as part of the efforts sponsored by the Ministry of Communications and Information Technology (MCIT) to support Information Technology Industry in Egypt. In year 2005, SECC became a part of the Information Technology Industry Development Agency (ITIDA). ITIDA is a governmental organization developing IT industry in Egypt. It is significantly financed by the private ICT sector with significant presence of private ICT business representatives on its Board of Directors. It is significantly financed by the private ICT sector with significant presence of private ICT business representatives on its Board of Directors.",,25000,,https://www.linkedin.com/company/secc-eg/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,IT-Fusion Software House,Egypt,Software Development,,"Cairo, Cairo",,"Over 12+ years of experience providing insurance software solutions, we delivered high-value innovative solutions by connecting the gap between insurance business know-how and Information technology to support wide, diversified, multicultural business environments in Egypt and Sudan. We understand that what matters most is to better understand our clients and how uniquely they each aspire to success. That is why our approach starts with people guided by CMMI-appraised processes.",,10000,,https://www.linkedin.com/company/it-fusion-software-house/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Instant Software Solutions,Egypt,Software Development,,"Cairo, cairo",,"Instant Software Solution is a software company that relies primarily on innovative and modern solutions in the field of software and is a modern company that uses all tools, We keep things simple, putting you in control so you can make informed choices",,71000,,https://www.linkedin.com/company/instantsoftwaresolution/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Global Software Solutions Group,United Arab Emirates,IT Services and IT Consulting,,"Dubai Internet City, Dubai",,"Global Software Solutions Group Veracious product line is a series of robust banking platforms that provide core banking, payment systems, custom process automation, and document management solutions for banks and financial institutions in Middle East & Africa. This cutting-edge product line features the Veracious Payments Hub, Digital Banking and the DMS, all built on the Torus Lowcode development platform software. Global Software Solutions Group is a software solutions provider that aims to solve mission-critical problems that financial institutions face today. Our software solutions bring together our Low Code platform, the payments product line and customized service offerings to solve mission-critical statements in core banking, payments, process automation, and document management. The Payments Hub is GSS's flagship product.",,92000,,https://www.linkedin.com/company/gssgroups/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
